,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
14,1642475760,14,0.068965517,0.365384615,0.352112676,0.485714286,0.223880597,0.115942029,0.074626866,0,0,0,1,0,0,0,0.08512422,2.506923244,DNN,4,0
15,1642475778,15,0.648275862,0.230769231,0.323943662,0.371428571,0.447761194,0.333333333,0.358208955,0,0,0,1,0,0,0,0.201924632,2.740697343,DNN,4,0
16,1642475796,16,0.062068966,0.384615385,0.408450704,0.614285714,0.149253731,0.130434783,0.119402985,0,0,0,1,0,0,0,0.074419431,2.452611065,DNN,4,0
17,1642475815,17,0.055172414,0.307692308,0.23943662,0.4,0.179104478,0.173913043,0.298507463,0,0,0,1,0,0,0,0.09521133,2.648797962,DNN,4,0
18,1642475833,18,0.131034483,0.423076923,0.450704225,0.542857143,0.149253731,0.086956522,0.119402985,0,0,0,1,0,0,0,0.093196171,2.498383475,DNN,4,0
19,1642475852,19,0.082758621,0.423076923,0.492957746,0.6,0.194029851,0.15942029,0.298507463,0,0,0,1,0,0,0,0.105859933,2.578714448,DNN,4,0
20,1642475871,20,0.068965517,0.403846154,0.323943662,0.485714286,0.119402985,0.057971014,0.149253731,0,0,0,1,0,0,0,0.082453091,2.45184954,DNN,4,0
21,1642475890,21,0.034482759,0.230769231,0.338028169,0.414285714,0.134328358,0.057971014,0.223880597,0,0,0,1,0,0,0,0.083327862,2.48801971,DNN,4,0
22,1642475909,22,0.689655172,0.5,0.464788732,0.642857143,0.582089552,0.463768116,0.76119403,0,0,0,1,0,0,0,0.314647044,2.783047306,DNN,4,0
23,1642475929,23,0.131034483,0.384615385,0.464788732,0.642857143,0.313432836,0.217391304,0.253731343,0,0,0,1,0,0,0,0.102651047,2.656200009,DNN,4,0
24,1642475950,24,0.165517241,0.5,0.507042254,0.685714286,0.23880597,0.231884058,0.194029851,0,0,0,1,0,0,0,0.111672772,2.619682902,DNN,4,0
25,1642475970,25,0.668965517,0.615384615,0.521126761,0.7,0.582089552,0.420289855,0.746268657,0,0,0,1,0,0,0,0.322882129,2.785685028,DNN,4,0
26,1642475991,26,0.068965517,0.403846154,0.408450704,0.614285714,0.28358209,0.144927536,0.208955224,0,0,0,1,0,0,0,0.089791503,2.567450874,DNN,4,0
,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
0,1642476146,0,0.083333333,0,0.043478261,0.083333333,0.045454545,0.217391304,0.090909091,0,0,0,1,0,0,0,0.129528877,2.347800772,CNN,78,0
1,1642476163,1,0.104166667,0,0.086956522,0.041666667,0,0,0,0,0,0,1,0,0,0,0.133830701,1.49406188,CNN,78,0
2,1642476179,2,0.104166667,0.333333333,0.043478261,0.458333333,0,0.043478261,0.136363636,0,0,0,1,0,0,0,0.062534335,2.100850553,CNN,78,0
3,1642476197,3,0.0625,0,0.086956522,0.041666667,0.045454545,0.043478261,0.045454545,0,0,0,1,0,0,0,0.133699008,2.526621262,CNN,78,0
4,1642476215,4,0.083333333,0.166666667,0.043478261,0.5,0.090909091,0.130434783,0.045454545,0,0,0,1,0,0,0,0.044850913,2.278907015,CNN,78,0
5,1642476233,5,0.166666667,0.055555556,0.347826087,0.291666667,0.272727273,0.347826087,0.227272727,0,0,0,1,0,0,0,0.128657049,2.667592686,CNN,78,0
6,1642476251,6,0.145833333,0.222222222,0.130434783,0.208333333,0,0.173913043,0.181818182,0,0,0,1,0,0,0,0.111100431,2.560900538,CNN,78,0
7,1642476271,7,0.1875,0.222222222,0.260869565,0.416666667,0.318181818,0.260869565,0.090909091,0,0,0,1,0,0,0,0.095775248,2.698595266,CNN,78,0
